,momentum_12_1,vol_ann,ret_3m,ret_1y,beta,pe,roa,log_mcap,score
VLO,1.2221623895833198,0.3488691924832142,0.5333678722009958,2.0702375397653023,0.568,16.28786,0.105579995,25.445442216767397,4.597195828059317
NVDA,0.2732819131605586,0.4023801165987974,0.06669722286781954,0.8371304103105861,2.217,27.631645,0.53572,29.293250400133168,4.52778350879165
MU,5.318353007284654,0.9399178958218188,-0.020544844633309522,10.253223336409802,2.222,22.024843,0.3487,27.727650441335783,4.2852879787612554
MPC,0.9819707663164641,0.34278096942203373,0.5222350178372701,1.549878233600058,0.527,13.7380295,0.087390006,25.434478875475563,4.0905316616018395
MA,-0.030840128908596776,0.2173953508424282,0.1719062955910109,0.1705371994394842,0.735,31.343061,0.24063,26.93510224626471,3.4037393066131285
AAPL,0.3319463608083322,0.3185130863275699,0.1249080469840651,0.5040153774534926,1.085,38.148106,0.27082002,29.209836481650154,3.3531140113835445
PSX,0.7977183540443327,0.30659480947336915,0.46461063712265416,1.2055273767998451,0.704,14.818389,0.06036,25.367951014014555,3.2378924442139008
V,0.07244090144362758,0.20393640857721063,0.16326038950311106,0.3177106502543716,0.761,31.554516,0.1911,27.26234252478209,3.000284935680063
MRK,0.6451167372209259,0.37078737583687166,0.20043908961509538,0.3341762403062811,0.226,115.144,0.11868,26.595665277616376,2.396664665757849
NEM,0.4440876986246378,0.4559485784919717,0.30212090426568716,1.4690790235001057,0.543,15.991173,0.15755,25.6182561524325,2.231715192565056
JNJ,0.4939547356901357,0.2553048744375841,0.1198330517405779,0.7027669173638484,0.235,30.774042,0.08595,27.18476657596996,2.1480673868185063
LLY,0.6063945507735824,0.33028405908188896,-0.037599560193002035,0.20994494373707728,0.502,37.452164,0.20357001,27.625923925859126,2.0907672292767066
COP,0.3555151789686364,0.29283899311893846,0.19856197116925167,0.42127003202186675,0.134,18.192053,0.07533,25.82923377343107,1.9537525205929644
XOM,0.44602235695493,0.25495730769737734,0.13959620640266968,0.5910861145925554,0.175,21.362936,0.055209998,27.24908150819335,1.9103089898785313
ABBV,0.17428558222675883,0.29229553328100744,0.1520671705129717,0.41520137789383416,0.281,72.42817,0.105100006,26.842158283240284,1.8456313344671453
CVX,0.2872826094799945,0.24911706793155478,0.16202844123701854,0.6707589353503485,0.491,20.62235,0.05861,26.76328437130768,1.5480580509556594
MSFT,-0.0019623384308810055,0.4300915071774791,0.2721294926115181,0.17906179930878752,1.108,27.62709,0.14088,28.93402170119108,1.5067857557543993
TMO,0.21703339802405042,0.2960898591149263,0.28333540344508545,-0.0001930308749331644,0.854,32.786022,0.05129,26.14149417338534,1.368189046707389
PFE,0.1536421181094707,0.22115445642473006,0.07775810200540323,0.08866712266059329,0.299,36.473682,0.05784,25.78582885973954,1.047762130209781
SCHW,0.18312334526230511,0.23556751190547803,0.21265776551521398,0.7819190409472692,0.753,19.53552,0.020680001,25.946165744872825,0.9705151645492134
RTX,0.4146000237116698,0.27207811011407446,0.07668784057998002,0.7038628624577707,0.287,34.864197,0.04212,26.308357907612063,0.954000161460951
TGT,0.7679976302957836,0.3339604394895784,0.18385165586620356,0.13443054279954492,0.986,16.148188,0.05689,24.983026815214924,0.9417978974873867
ROST,0.6315166679072362,0.2776826523325113,-0.033139717591048834,0.5408793515046062,0.861,27.934624,0.12785,25.027561040754186,0.7826158337827948
JPM,0.2110764793573059,0.20033158611639057,0.14145526306448297,0.7966962366940267,0.975,15.269182,0.0136,27.576486502389745,0.781629976012209
BAC,0.2832289650128974,0.17669929792832345,0.14231052777256825,0.6898674321785425,1.164,14.47806,0.00969,26.80634141917883,0.6662264442058194
OXY,0.2729272392591253,0.3249336403386745,0.11307039056881907,0.25481634041619916,0.164,18.129793,0.046830002,24.841289658424742,0.5861512160643253
MCD,-0.10099021617541182,0.2227498880217578,-0.10691097120118376,-0.09331006189998203,0.414,20.530893,0.1325,25.908978254537498,0.40770240755265924
DE,0.30137032409176157,0.3405135924078843,0.19142423491086147,0.7928848634323564,0.911,37.603786,0.03759,25.928352525051647,0.37567367638200305
GOOGL,0.44376457601555797,0.3606086490512328,-0.0532532095764755,1.2036133044828423,1.225,16.975927,0.12958999,29.05167658851834,0.2824791979166569
