Ticker,ret_12_1,ret_3m,vol_6m,rs_vs_universe,score
AMD,2.1028,1.6453,0.7481,1.8174,0.7614
CAT,0.9989,0.3146,0.4294,0.7136,0.7557
CRWD,1.0816,0.5456,0.6181,0.7962,0.7500
PANW,0.9967,0.6742,0.5486,0.7113,0.7443
JNJ,0.4940,0.0030,0.2201,0.2086,0.7273
BAC,0.2832,0.2053,0.1926,-0.0021,0.7216
LLY,0.6064,0.1521,0.3544,0.3210,0.7216
GS,0.3482,0.3646,0.3344,0.0628,0.7159
KO,0.3294,0.0683,0.2073,0.0441,0.6989
SLB,0.4726,0.2628,0.3729,0.1872,0.6989
MRK,0.6451,0.0374,0.3237,0.3598,0.6932
AAPL,0.3319,0.1650,0.2780,0.0466,0.6818
GOOGL,0.4438,0.1906,0.3594,0.1584,0.6705
SNOW,0.5026,0.3029,0.7828,0.2173,0.6477
JPM,0.2111,0.1373,0.2078,-0.0743,0.6307
UNH,0.1588,0.4482,0.2942,-0.1266,0.6023
XOM,0.4460,-0.0520,0.2828,0.1607,0.5795
ANET,0.3305,0.2221,0.5861,0.0452,0.5682
COP,0.3555,-0.0331,0.3077,0.0702,0.5625
GE,0.2874,0.1188,0.3599,0.0020,0.5455
ABBV,0.1743,0.0452,0.2747,-0.1111,0.5455
DE,0.3014,0.0029,0.3376,0.0160,0.5341
PFE,0.1536,0.0024,0.2074,-0.1317,0.5284
CVX,0.2873,-0.0401,0.2553,0.0019,0.5170
NVDA,0.2733,0.1397,0.4008,-0.0121,0.5000
V,0.0724,0.0518,0.2279,-0.2129,0.4886
AVGO,0.1703,0.1885,0.4805,-0.1150,0.4716
LIN,-0.0010,0.0634,0.2012,-0.2864,0.4659
AMZN,0.1530,0.1487,0.3745,-0.1324,0.4489
FSLR,0.1002,0.3633,0.5266,-0.1851,0.4432
APD,0.0650,-0.0160,0.2310,-0.2204,0.4034
WMT,0.1341,-0.0395,0.2761,-0.1512,0.4034
COST,0.0033,-0.0244,0.2029,-0.2821,0.3920
BA,0.0470,0.0436,0.3563,-0.2383,0.3466
PEP,0.0038,-0.0881,0.2129,-0.2816,0.3466
MA,-0.0308,-0.0144,0.2305,-0.3162,0.3352
CME,0.0530,-0.1300,0.2744,-0.2324,0.3295
HD,-0.1762,-0.0241,0.2775,-0.4616,0.2557
MSFT,-0.0020,-0.0100,0.3777,-0.2873,0.2330
TSLA,-0.0782,0.0389,0.5065,-0.3636,0.2159
PLTR,0.0891,-0.1521,0.6941,-0.1962,0.1989
NFLX,-0.3499,-0.1571,0.3452,-0.6352,0.1307
SMCI,-0.1090,-0.0094,1.1229,-0.3943,0.1307
META,-0.2051,-0.0754,0.4467,-0.4904,0.1080
