rank,ticker,price,ret_1m,ret_3m,ret_6m,ret_12m,vol_12m,maxdd_12m,momentum,quality,composite
1,CRM,247.72,0.2814,0.4883,0.2494,0.0299,0.4717,-0.4333,1.0905,0.167,0.7211
2,AMD,516.13,0.0687,0.0567,1.6101,2.2351,0.7174,-0.2776,1.7952,-1.0677,0.65
3,MSFT,495.63,0.0084,0.2721,0.2383,-0.0013,0.3242,-0.345,0.2121,0.3901,0.2833
4,AAPL,332.27,0.0993,0.1249,0.3015,0.4705,0.2506,-0.138,0.3856,0.0371,0.2462
5,MSTR,130.97,0.3811,0.0901,-0.0464,-0.5988,0.7967,-0.7712,0.2052,0.0838,0.1566
6,ABNB,170.19,-0.055,0.3005,0.3327,0.3791,0.3476,-0.1721,0.3521,-0.178,0.1401
7,META,648.03,0.1195,0.1411,0.0172,-0.1354,0.3939,-0.3246,0.0174,0.1076,0.0535
8,TSM,433.24,0.0095,0.0289,0.2933,0.6819,0.4017,-0.2155,0.1441,-0.2284,-0.0049
9,PLTR,167.23,-0.0223,0.2758,0.0894,0.0029,0.6078,-0.4822,0.0632,-0.1318,-0.0148
10,COIN,175.26,0.1759,0.0924,-0.093,-0.4442,0.707,-0.6357,-0.1493,-0.0136,-0.095
11,AMZN,256.78,-0.0393,0.0632,0.2255,0.1148,0.3427,-0.2174,-0.1684,-0.0331,-0.1143
12,GOOGL,338.5,-0.014,-0.0533,0.1165,0.419,0.3152,-0.2105,-0.2524,0.0358,-0.1371
13,NVDA,218.29,-0.0248,0.0667,0.1947,0.234,0.3795,-0.2021,-0.1075,-0.1952,-0.1426
14,NFLX,77.4,0.043,-0.0476,-0.1793,-0.3797,0.3588,-0.4554,-0.6526,0.5934,-0.1542
15,TSLA,365.44,0.1158,-0.0845,-0.0749,0.0507,0.4746,-0.391,-0.3297,0.0371,-0.183
16,UBER,71.67,-0.049,0.0305,-0.0178,-0.2393,0.3594,-0.3413,-0.5415,0.2663,-0.2184
17,SHOP,128.79,-0.1437,0.1658,0.0208,-0.0943,0.5841,-0.4671,-0.4248,-0.0985,-0.2943
18,ORCL,150.28,-0.0196,-0.1809,-0.0492,-0.5371,0.5724,-0.6456,-0.9589,0.4479,-0.3962
19,AVGO,361.99,-0.1299,-0.0597,0.0814,-0.0133,0.462,-0.2867,-0.6804,-0.2196,-0.4961
