rank,ticker,ret_12_1,ret_6m,ret_3m,vol,max_dd,dist_high,last_close,mom,qual,composite
1,AMD,210.28,166.89,0.89,74.81,-54.74,-11.15,516.13,378.78,-87.14,192.41
2,MRK,64.51,26.32,21.77,32.37,-37.04,-8.0,143.93,94.52,2.25,57.62
3,UNH,15.88,35.15,-6.67,29.42,-61.39,-36.79,379.09,-6.16,148.86,55.85
4,CAT,99.89,18.4,-9.94,42.94,-34.05,-22.99,818.57,75.97,-3.21,44.3
5,AAPL,33.19,33.08,14.23,27.8,-33.36,-2.21,332.27,49.33,-6.58,26.96
6,MS,42.72,39.94,0.71,27.6,-29.24,-5.68,214.38,44.65,-7.84,23.65
7,LLY,60.64,13.62,-1.39,35.44,-32.57,-12.86,1115.7,37.23,-7.45,19.36
8,JNJ,49.4,11.14,10.8,22.01,-14.29,-4.62,265.58,41.82,-30.6,12.85
9,JPM,21.11,26.89,11.57,20.78,-24.42,-2.45,356.23,23.61,-5.51,11.96
10,GS,34.82,32.8,-2.68,33.44,-30.9,-10.23,1029.18,21.91,-11.73,8.46
11,XOM,44.6,7.74,13.64,28.28,-20.11,-1.91,165.99,37.39,-43.5,5.03
12,MSFT,-0.2,25.81,27.08,37.77,-34.5,-7.81,495.63,22.81,-23.11,4.44
13,UPS,30.78,6.57,-5.75,31.19,-36.93,-18.38,100.28,-14.37,32.34,4.32
14,RTX,41.46,-2.62,8.07,26.9,-19.32,-12.33,197.68,13.62,-14.41,2.41
15,GOOGL,44.38,12.12,-5.83,35.94,-29.81,-15.82,338.5,7.89,-8.81,1.21
16,NVDA,27.33,21.38,6.5,40.08,-36.88,-7.19,218.29,17.14,-26.28,-0.23
17,CVX,28.73,10.71,15.33,25.53,-20.81,0.0,214.06,23.53,-37.25,-0.78
18,DE,30.14,17.66,17.32,33.76,-19.9,-3.24,675.74,35.58,-59.22,-2.34
19,PFE,15.36,7.86,7.61,20.74,-26.17,-4.48,27.72,-9.2,4.32,-3.79
20,V,7.24,21.09,15.12,22.79,-20.38,-3.56,370.45,6.75,-20.04,-3.96
21,ABBV,17.43,18.85,13.71,27.47,-20.74,-3.33,257.12,14.76,-35.54,-5.36
22,EMR,20.92,15.94,6.74,32.91,-29.61,-7.1,152.19,4.19,-21.2,-5.96
23,ETN,27.3,20.31,8.95,44.42,-34.46,-7.52,425.37,20.26,-46.46,-6.43
24,AMZN,15.3,23.65,7.64,37.45,-30.88,-9.59,256.78,6.4,-26.95,-6.94
25,LMT,29.52,-17.82,-2.39,30.52,-31.79,-21.55,524.19,-34.28,29.26,-8.87
26,PLTR,8.91,10.79,30.66,69.41,-48.22,-19.28,167.23,25.41,-65.22,-10.84
27,MA,-3.08,14.69,16.36,23.05,-20.91,-5.11,569.19,-10.28,-15.59,-12.4
28,AVGO,17.03,12.78,-5.11,48.05,-41.15,-24.71,361.99,-24.18,2.39,-13.55
29,NEE,23.14,-9.96,-3.56,21.85,-23.83,-14.65,82.31,-36.45,20.31,-13.75
30,GE,28.74,8.13,-3.35,35.99,-21.36,-15.1,323.66,-11.22,-32.8,-19.85
31,NFLX,-34.99,-18.79,-3.66,34.52,-49.52,-42.2,77.4,-117.56,114.42,-24.77
32,COST,0.33,-10.01,-7.75,20.29,-20.74,-17.19,904.77,-72.05,24.01,-33.63
33,NKE,-43.3,-30.49,-17.23,37.77,-56.77,-56.56,36.8,-162.85,158.81,-34.19
34,WMT,13.41,-14.77,-11.26,27.61,-23.34,-19.97,107.15,-66.57,13.05,-34.72
35,META,-20.51,5.78,14.4,44.67,-34.15,-17.7,648.03,-44.11,-22.22,-35.36
36,BA,4.7,0.27,-3.93,35.63,-26.66,-16.54,210.45,-49.85,-14.13,-35.56
37,HD,-17.62,-7.58,-5.29,27.75,-28.84,-25.05,308.74,-87.7,39.83,-36.69
38,TSLA,-7.82,-6.58,-10.09,50.65,-53.77,-25.4,365.44,-82.81,28.23,-38.39
39,MCD,-10.1,-21.57,-10.7,20.5,-24.51,-24.51,252.53,-101.54,51.7,-40.24
40,HON,11.76,-17.02,-12.16,30.81,-22.1,-21.55,202.36,-72.38,3.03,-42.22
